review,rating
منتوج جيد تمن مناسب فقط هناك ملاحظة يجب تغليف المنتوج جيدا وصلني واحد مكسر بعض الشيئ من الاحسن وضعهم داخل علبة كارطونية عوض علبة بلاستيكية ودالك لتجنب ارجاع المنتوج وما يليه من مشاكل,4.0
حامل الهواتف الذكية من خشب ودعامات متينة لأي نوع من للهواتف الذكية ، وهو أيضًا تحفة فنية ذو طابع مغربي أصيل منجز من طرف الصناع التقليديين بالإضافة إلى توفره على مظهر دقيق مليء بالشعور بالطبيعة ، توفر دعامة تثبيت حامل الهواتف الذكية من خشب عالية الجودة شعورًا سلسًا باليد وملمسًا رائعًا.,5.0
Comme je prévoyais,5.0
منتج وائع و توصيل سريع,5.0
mzyan bzaf,5.0
"Je suis vraiment pas content ????, car mon trépied est complètement ancien. Même la pièce qui tient le téléphone ???? est très rouillée et abîmé ça ne serre même plus.",2.0
Pas ouf,3.0
a perfect ones ????????,5.0
"Son puissant (excellent dans les mids et highs un peu moins dans les lows), un peu moins confortable à mon casque JBL460BT mais j'ai pas l'habitude des casques qui couvrent l'oreille.. Jolie design malgré les matériaux qui semble un peu cheap mais contenu du prix c'est un très bon headphone, merci à Jumia et au vendeur.",4.0
léger et pratique,4.0
يحفض جيدا التابلت,5.0
Produit bien expédié,5.0
Très bonne qualité/ les stickers sont claires ????,5.0
Bon produit qualité privé satisfaisante,4.0
Identique à la photo et la description,5.0
chargeur mzian highly recommended,5.0
Fast ça charge bien. Marche bien pour le moment ça fait 1 semaine que je l’ai et je n’ai ps eu de pb,5.0
Love it,5.0
Bon produit,3.0
منتوج جيد,4.0
zwin kaysbar 12H and supported Hi Fi,4.0
Magnifique,5.0
مرضي بشكل تام,5.0
C dommage de commercialiser un tel produit,1.0
on m'a livré une couleur différente de celle que j'ai commandé,2.0
"Qualité prix satisfaisant, j auais aimé en plus court.",4.0
the product picture matches the product and it's super cute.,5.0
Merci pour le service,5.0
Bien reçu en bon état,5.0
Bon produit,5.0
j'ai bien apprécie le produit,4.0
تلفزة مزويناش غير مقلدة,1.0
Excellent ???? qualité prix,5.0
لم تذكروا ثمن الشحن إلا عند إتمام الطلب المرجوا أن تكونوا أكثر تدقيقا و شفافية,4.0
"après 3 mois d utilisation, une tache est apparu sur l écran",1.0
bon qualite,4.0
J ai reçu ma commande MERCI,5.0
المنتج جيد جدا كشاشة عرض الصوت يحتاج تحسين اكتر,4.0
MZIANA,3.0
Qualité d'image et son parfaite par rapport au prix prévoir une box android pour plus de fun,5.0
Tv makatkhdimch jami3 l9anawat,4.0
fonctionne très bien,5.0
"Le son et l'image très clair, aussi les couleurs TNT et récepteur intégré il faut acheter un TV box c'est mieux",5.0
تلفاز رائع و ممتاز . صورة واضحة و صوت جيد ????????,5.0
"La TV marche très bien et la qualité des couleurs est superbe, je suis très satisfaite de cet achat !",5.0
الصوت زوين وعالي ولكن الصورة لا علاقة الألوان غير مشبعة,3.0
تلفاز جيد وصوت مرتفع,5.0
bon produit,4.0
La livraison gratuite et rapide,5.0
"Mauvaise qualité, il se bloque aussi Netflix ne marche pas reste bloqué je recommande pas",1.0
Rapport qualité-prix rien à dire,4.0
Après 2 mois d'utilisation il fonctionne très bien,5.0
على شركة المنتج أن تزودنا بخدمة play store وantivirus وتزيد من ذاكرة التخزين فهي غير كافية,5.0
Bon tv,5.0
Très satisfait comme dans l'article. Tout est bon. Je recommande. Qualité prix au top,5.0
تلفاز ممتاز بثمن مناسب يستحق الشراء,5.0
No sorry,3.0
Qualité prix rien à dire,5.0
Excellent product ... network card good .. fast shipping thanks Jumia thanks to seller to,5.0
جودة الصورة,3.0
كولشي فيه مزيان,5.0
Super TV. Très satisfait.... Merci JUMIA.,5.0
Super TV. Très satisfait.... Merci JUMIA.,5.0
oui top,5.0
"Je recommande la Tv Bysat franchement je voulais prendre mon temps à utiliser le produit avant de venir mettre le commentaire et je suis à 2mois d’utilisation,rien à dire très bonne qualité et mérite ⭐️⭐️⭐️⭐️⭐️",5.0
انا اسمي سعيد لم اخبر السيد اللدي سوف ياخد التلفاز ولكن بمجرد ان اشتريت التلفاز اتصلت به فاخبرني انه خارج المدينة في عطلة وعندما اتصلت بكم لتغير اسمه واضع اسم ثاني ليقوم بالمهمة قبل طلبي بالرفض بمعنى اخر لا يمكننا تغير ذالك الاسم الاول,3.0
top ca marche très bien,5.0
excellente,5.0
Je suis très content et j’ai beaucoup apprécié l’excellente tv et l’organisation de son envoi.très bon rapport qualité prix. Je commanderais certainement d’autres produits à l’avenir inchallah,5.0
